/*				
Values taken from:				
Oerter et al., Accumulation rates in Dronning Maud Land, Antarctica, as revealed
by dielectric-profiling measurements of shallow firn cores, Ann. Glaciol.,
30(1), 27-34, 2000.
Except: temperature for FB9807 adapted from b32 (1 km), temperature for FB9815
adapted from FB9805 (28 km), temperature for FB11 adapted from FB9812 (19 km).
Pressure values are calculated from barometric formula using local height and
temperature data.
*/				
core	temperature	acc.rate	pressure	height
B31	-44.3	59	680.1	2669
B32	-44.5	62	658.6	2882
B33	-46.1	47	629.7	3160
FB9804	-40.5	50	688.5	2630
FB9805	-43.4	44	664.1	2840
FB9807	-44.5	67	658.8	2880
FB9808	-43.1	68	662.5	2860
FB9809	-42.2	89	665.2	2843
FB9810	-44	86	649.6	2980
FB9811	-45.8	58	630.1	3160
FB9813	-45.5	48	636.2	3100
FB9814	-45	64	649.4	2970
FB9815	-43.4	53	664.1	2840
FB9816	-42.3	47	675.3	2740
FB9817	-40.2	62	683.8	2680
