% ITASE_2000_4					
% Water isotope data from the University of Washington					
% Eric J. Steig and David P. Schneider					
%					
% Citation:					
% Steig EJ, Ding Q, White JCW, Kuettel M, Rupper SB, Neumann TA, Neff PD,					
% Gallant AJE, Mayewski PA, Taylor KC, Hoffmann G, Dixon DA, Schoenemann S, Markle BM, 					
% Schneider DP, Fudge TJ, Schauer AJ, Teel RP, Vaughn B, Burgener L, Williams J,					
% Korotkikh E. Recent climate and ice-sheet changes in West Antarctica compared					
% with the past 2000 years. Nature Geoscience 6: 372-375, doi: 10.1038/NGEO1778 (2013).					
%					
% Depths are given in meters. Age in calendar years.					
% Ages refer to nominal Jan 1st (that is, 2000.0 means midnight of Dec 31, 1999)					
%					
% Isotope ratios are normalized on the V-SMOW / SLAP scale.					
% Precision is <0.1 per mil and <1 per mil for d18O and delD, respectively.  Analysis via CO2 equilibration (d18O), reduction on Cr (dD) or laser spectroscopy (dD).					
%					
% Core ITASE_2000_4, Location 120.0764 W, 78.0829 S, elevation 1697 m					
% Core depth = 58 m.  Analyzed to 20 m.					
%					
% Depth_top	Depth_bottom	Age_top	Age_bottom	dD (per mil)	d18O (per mil)
0	0.02	2001	2000.9811	-233.561301	999999
0.02	0.04	2000.9811	2000.9623	-217.012997	999999
0.04	0.06	2000.9623	2000.9434	-226.557894	999999
0.06	0.08	2000.9434	2000.9245	-273.362125	999999
0.08	0.1	2000.9245	2000.9057	-285.363182	999999
0.1	0.12	2000.9057	2000.8868	-289.994677	999999
0.12	0.14	2000.8868	2000.8679	-287.441306	999999
0.14	0.16	2000.8679	2000.8491	-272.521803	999999
0.16	0.18	2000.8491	2000.8302	-246.779638	999999
0.18	0.2	2000.8302	2000.8113	-247.443903	999999
0.2	0.22	2000.8113	2000.7925	-254.913915	999999
0.22	0.24	2000.7925	2000.7736	-265.473031	999999
0.24	0.26	2000.7736	2000.7547	-283.882357	999999
0.26	0.28	2000.7547	2000.7358	-290.685945	999999
0.28	0.3	2000.7358	2000.717	-284.899817	999999
0.3	0.32	2000.717	2000.6981	-274.356902	999999
0.32	0.34	2000.6981	2000.6792	-277.7884	999999
0.34	0.36	2000.6792	2000.6604	-286.499454	999999
0.36	0.38	2000.6604	2000.6415	-279.52521	999999
0.38	0.4	2000.6415	2000.6226	-269.165913	999999
0.4	0.42	2000.6226	2000.6038	-255.434527	999999
0.42	0.44	2000.6038	2000.5849	-236.31449	999999
0.44	0.46	2000.5849	2000.566	-238.223038	999999
0.46	0.48	2000.566	2000.5472	-235.477409	999999
0.48	0.5	2000.5472	2000.5283	-246.577658	999999
0.5	0.52	2000.5283	2000.5094	-243.114838	999999
0.52	0.54	2000.5094	2000.4906	-245.332295	999999
0.54	0.56	2000.4906	2000.4717	-246.665147	999999
0.56	0.58	2000.4717	2000.4528	-258.412379	999999
0.58	0.6	2000.4528	2000.434	-268.62046	999999
0.6	0.62	2000.434	2000.4151	-274.612888	999999
0.62	0.64	2000.4151	2000.3962	-276.67481	999999
0.64	0.66	2000.3962	2000.3774	-280.261842	999999
0.66	0.68	2000.3774	2000.3585	-292.176491	999999
0.68	0.7	2000.3585	2000.3396	-304.859095	999999
0.7	0.72	2000.3396	2000.3208	-320.286249	999999
0.72	0.74	2000.3208	2000.3019	-322.681923	999999
0.74	0.76	2000.3019	2000.283	-315.30588	999999
0.76	0.78	2000.283	2000.2642	-299.149655	999999
0.78	0.8	2000.2642	2000.2453	-291.093145	999999
0.8	0.82	2000.2453	2000.2264	-287.752377	999999
0.82	0.84	2000.2264	2000.2075	-289.691167	999999
0.84	0.86	2000.2075	2000.1887	-284.691356	999999
0.86	0.88	2000.1887	2000.1698	-277.412522	999999
0.88	0.9	2000.1698	2000.1509	-266.062769	999999
0.9	0.92	2000.1509	2000.1321	-261.167902	999999
0.92	0.94	2000.1321	2000.1132	-258.961285	999999
0.94	0.96	2000.1132	2000.0943	-255.268799	999999
0.96	0.98	2000.0943	2000.0755	-258.856311	999999
0.98	1	2000.0755	2000.0566	-261.40707	999999
1	1.02	2000.0566	2000.0377	-266.071376	999999
1.02	1.04	2000.0377	2000.0189	-269.363445	999999
1.04	1.06	2000.0189	2000	-274.081863	999999
1.06	1.08	2000	1999.95	-277.825212	999999
1.08	1.1	1999.95	1999.9	-289.057425	999999
1.1	1.12	1999.9	1999.85	-285.923357	999999
1.12	1.14	1999.85	1999.8	-287.474158	999999
1.14	1.16	1999.8	1999.75	-283.511121	999999
1.16	1.18	1999.75	1999.7	-275.657555	999999
1.18	1.2	1999.7	1999.65	-278.84465	999999
1.2	1.22	1999.65	1999.6124	-272.474788	999999
1.22	1.24	1999.6124	1999.5738	-272.722612	999999
1.24	1.26	1999.5738	1999.5347	-269.484653	999999
1.26	1.28	1999.5347	1999.4955	-270.465131	999999
1.28	1.3	1999.4955	1999.4563	-276.45081	999999
1.3	1.32	1999.4563	1999.4172	-273.342716	999999
1.32	1.34	1999.4172	1999.378	-265.561657	999999
1.34	1.36	1999.378	1999.3389	-259.555416	999999
1.36	1.38	1999.3389	1999.2997	-246.651195	999999
1.38	1.4	1999.2997	1999.2606	-239.372279	999999
1.4	1.42	1999.2606	1999.2214	-228.669266	999999
1.42	1.44	1999.2214	1999.1823	-226.321962	999999
1.44	1.46	1999.1823	1999.1431	-222.189018	999999
1.46	1.48	1999.1431	1999.104	-226.194261	999999
1.48	1.5	1999.104	1999.0648	-234.837838	999999
1.5	1.52	1999.0648	1999.0257	-249.12187	999999
1.52	1.54	1999.0257	1998.9841	-264.933978	999999
1.54	1.56	1998.9841	1998.9381	-273.224755	999999
