% ITASE_2000_5					
% Water isotope data from the University of Washington					
% Eric J. Steig and David P. Schneider					
%					
% Citation:					
% Steig EJ, Ding Q, White JCW, Kuettel M, Rupper SB, Neumann TA, Neff PD,					
% Gallant AJE, Mayewski PA, Taylor KC, Hoffmann G, Dixon DA, Schoenemann S, Markle BM, 					
% Schneider DP, Fudge TJ, Schauer AJ, Teel RP, Vaughn B, Burgener L, Williams J,					
% Korotkikh E. Recent climate and ice-sheet changes in West Antarctica compared					
% with the past 2000 years. Nature Geoscience 6: 372-375, doi: 10.1038/NGEO1778 (2013).					
%					
% Depths are given in meters. Age in calendar years.					
% Ages refer to nominal Jan 1st (that is, 2000.0 means midnight of Dec 31, 1999)					
%					
% Isotope ratios are normalized on the V-SMOW / SLAP scale.					
% Precision is <0.1 per mil and <1 per mil for d18O and delD, respectively.  Analysis via CO2 equilibration (d18O), reduction on Cr (dD) or laser spectroscopy (dD).					
%					
% Core ITASE_2000_5, Location 123.995 W, 77.683 S, 1828 m					
%					
% Core depth = 60 m.  Analyzed to 60 m.					
%					
% '999999' = no data					
%					
% Depth_top	Depth_bottom	Age_top	Age_bottom	d18O (per mil)	dD (per mil)
0	0.02	2001	2000.963	999999	-252.62
0.02	0.04	2000.963	2000.9259	999999	-247.41
0.04	0.06	2000.9259	2000.8889	999999	-243.39
0.06	0.08	2000.8889	2000.8519	999999	-245.87
0.08	0.1	2000.8519	2000.8148	999999	-280.71
0.1	0.12	2000.8148	2000.7778	999999	-304.74
0.12	0.14	2000.7778	2000.7407	999999	-303.04
0.14	0.16	2000.7407	2000.7037	999999	-281.83
0.16	0.18	2000.7037	2000.6667	999999	-288.27
0.18	0.2	2000.6667	2000.6296	999999	-274.06
0.2	0.22	2000.6296	2000.5926	999999	-305.22
0.22	0.24	2000.5926	2000.5556	999999	-322.18
0.24	0.26	2000.5556	2000.5185	999999	-326.33
0.26	0.28	2000.5185	2000.4815	999999	-316.5
0.28	0.3	2000.4815	2000.4444	999999	-304.06
0.3	0.32	2000.4444	2000.4074	999999	-289.71
0.32	0.34	2000.4074	2000.3704	999999	-260.59
0.34	0.36	2000.3704	2000.3333	999999	-273.26
0.36	0.38	2000.3333	2000.2963	999999	-273.77
0.38	0.4	2000.2963	2000.2593	999999	-272.91
0.4	0.42	2000.2593	2000.2222	999999	-260.17
0.42	0.44	2000.2222	2000.1852	999999	-245.2
0.44	0.46	2000.1852	2000.1481	999999	-274.67
0.46	0.48	2000.1481	2000.1111	999999	-272.32
0.48	0.5	2000.1111	2000.0741	999999	-276.81
0.5	0.52	2000.0741	2000.037	999999	-274.21
0.52	0.54	2000.037	2000	999999	-258.01
0.54	0.56	2000	1999.9524	999999	-265.67
0.56	0.58	1999.9524	1999.9048	999999	-277.56
0.58	0.6	1999.9048	1999.8571	999999	-268.58
0.6	0.62	1999.8571	1999.8095	999999	-274.41
0.62	0.64	1999.8095	1999.7619	999999	-304.5
0.64	0.66	1999.7619	1999.7143	999999	-303.83
0.66	0.68	1999.7143	1999.6667	999999	-301.3
0.68	0.7	1999.6667	1999.619	999999	-301.54
0.7	0.72	1999.619	1999.5714	999999	-270.62
0.72	0.74	1999.5714	1999.5238	999999	-303.07
0.74	0.76	1999.5238	1999.4762	999999	-299.49
0.76	0.78	1999.4762	1999.4286	999999	-306.06
0.78	0.8	1999.4286	1999.381	999999	-311.31
0.8	0.82	1999.381	1999.3333	999999	-296.69
0.82	0.84	1999.3333	1999.2857	999999	-306.01
0.84	0.86	1999.2857	1999.2381	999999	-287.77
0.86	0.88	1999.2381	1999.1905	999999	-291.29
0.88	0.9	1999.1905	1999.1429	999999	-276.09
0.9	0.92	1999.1429	1999.0952	999999	-279.32
0.92	0.94	1999.0952	1999.0476	999999	-277.42
0.94	0.96	1999.0476	1999	999999	-274.29
0.96	0.98	1999	1998.9545	999999	-279.75
0.98	1	1998.9545	1998.9091	999999	-279.18
1	1.02	1998.9091	1998.8864	999999	-280.63
1.01	1.043	1998.8864	1998.8123	-34.26	-272.93
1.043	1.075	1998.8123	1998.7382	-33.14	-274.2
1.075	1.108	1998.7382	1998.6642	-34.94	-282.47
1.108	1.14	1998.6642	1998.5901	-34.2	-279.58
1.14	1.173	1998.5901	1998.5161	-34.73	-272.39
1.173	1.206	1998.5161	1998.442	-34.81	-273.53
1.206	1.238	1998.442	1998.3679	-35.27	-278.19
1.238	1.271	1998.3679	1998.2939	-35.85	-284.93
1.271	1.303	1998.2939	1998.2198	-35.4	-282.5
1.303	1.336	1998.2198	1998.1458	-34.58	-273.57
1.336	1.368	1998.1458	1998.0717	-33.82	-270.84
1.368	1.401	1998.0717	1997.9963	-34.58	-275.18
1.401	1.434	1997.9963	1997.8799	-35.14	-280.03
1.434	1.466	1997.8799	1997.7636	-33.75	-277.72
1.466	1.499	1997.7636	1997.6472	-34.2	-271.01
1.499	1.531	1997.6472	1997.5308	-33.65	-265.65
1.531	1.564	1997.5308	1997.4144	-32.92	-263.85
1.564	1.597	1997.4144	1997.298	-32.89	-261.62
1.597	1.629	1997.298	1997.1817	-33.31	-265.91
1.629	1.662	1997.1817	1997.0653	-33.94	-268.96
1.662	1.694	1997.0653	1996.945	-34.12	-269.63
1.694	1.727	1996.945	1996.8196	-33.9	-267.47
1.727	1.759	1996.8196	1996.6943	-33.41	-264.07
1.759	1.792	1996.6943	1996.569	-33.01	-258.42
1.792	1.825	1996.569	1996.4437	-32.63	-254.12
1.825	1.857	1996.4437	1996.3183	-32.44	-254.41
1.857	1.89	1996.3183	1996.193	-32.45	-255.77
1.89	1.922	1996.193	1996.0677	-31.65	-249.27
1.922	1.955	1996.0677	1995.9063	-30.24	-239.27
1.955	1.987	1995.9063	1995.6547	-30.27	-241.77
1.987	2.018	1995.6547	1995.5152	-30.98	-254.73
2.018	2.05	1995.5152	1995.3977	-33.46	-268.19
2.05	2.081	1995.3977	1995.2803	-34.91	-280.26
2.081	2.113	1995.2803	1995.1629	-35.83	-289.43
2.113	2.144	1995.1629	1995.0455	-35.55	-286.61
2.144	2.176	1995.0455	1994.9177	-35.43	-279.59
2.176	2.207	1994.9177	1994.7836	-34.32	-273.46
2.207	2.239	1994.7836	1994.6494	-34.21	-265.36
2.239	2.27	1994.6494	1994.5152	-33.48	-262.79
2.27	2.302	1994.5152	1994.381	-32.77	-257.74
2.302	2.333	1994.381	1994.2468	-32.59	-259.94
2.333	2.365	1994.2468	1994.1126	-34.19	-272.7
2.365	2.396	1994.1126	1993.9832	-33.74	-286.29
2.396	2.428	1993.9832	1993.8788	-36.95	-298.44
2.428	2.459	1993.8788	1993.7744	-37.6	-300.97
2.459	2.491	1993.7744	1993.67	-35.15	-298.8
2.491	2.522	1993.67	1993.5657	-36.58	-290.64
2.522	2.554	1993.5657	1993.4613	-35.47	-280.66
2.554	2.585	1993.4613	1993.3569	-33.99	-269.38
2.585	2.617	1993.3569	1993.2525	-33.13	-259.45
2.617	2.648	1993.2525	1993.1481	-31.84	-249.53
2.648	2.68	1993.1481	1993.0438	-31.25	-240.75
2.68	2.711	1993.0438	1992.9455	-30.73	-240.91
2.711	2.743	1992.9455	1992.8515	-31.1	-245.46
2.743	2.774	1992.8515	1992.7576	-27.94	-249.77
2.774	2.806	1992.7576	1992.6636	-32.89	-262.92
2.806	2.837	1992.6636	1992.5697	-34.77	-272.53
2.837	2.869	1992.5697	1992.4758	-31.12	-276.05
2.869	2.9	1992.4758	1992.3818	-32.9	-273.71
2.9	2.932	1992.3818	1992.2879	-33.65	-265.45
2.932	2.963	1992.2879	1992.1939	-31.89	-251.82
2.963	2.995	1992.1939	1992.1	-30.43	-239.58
2.995	3.026	1992.1	1992.0167	-28.06	-228.05
3.026	3.056	1992.0167	1991.9333	-28.28	-224.08
3.056	3.087	1991.9333	1991.85	-28.28	-223.6
3.087	3.118	1991.85	1991.7667	-29	-228.73
3.118	3.148	1991.7667	1991.6833	-29.91	-237.07
3.148	3.179	1991.6833	1991.6	-29.82	-249.11
3.179	3.21	1991.6	1991.5167	-33.02	-263.78
3.21	3.24	1991.5167	1991.4333	-34.27	-277.65
3.24	3.271	1991.4333	1991.35	-34.71	-282.97
3.271	3.302	1991.35	1991.2667	-35.87	-283.34
3.302	3.332	1991.2667	1991.1834	-34.92	-281.18
3.332	3.363	1991.1834	1991.1	-34.12	-275.62
3.363	3.394	1991.1	1991.0167	-34.18	-273.3
3.394	3.424	1991.0167	1990.8889	-32.62	-270.13
3.424	3.455	1990.8889	1990.75	-33.92	-267.42
3.455	3.486	1990.75	1990.6112	-31.83	-267.25
3.486	3.516	1990.6112	1990.4723	-34.04	-269.72
3.516	3.547	1990.4723	1990.3334	-34.27	-270.8
3.547	3.578	1990.3334	1990.1945	-32	-268.03
3.578	3.608	1990.1945	1990.0556	-33.01	-262.55
3.608	3.639	1990.0556	1989.9286	-31.98	-253.41
3.639	3.67	1989.9286	1989.8096	-29.79	-243.25
3.67	3.7	1989.8096	1989.6905	-30.99	-243.49
3.7	3.731	1989.6905	1989.5715	-31.59	-251.74
3.731	3.762	1989.5715	1989.4524	-33.23	-264.86
3.762	3.792	1989.4524	1989.3334	-34.55	-279.48
3.792	3.823	1989.3334	1989.2144	-30.48	-286.36
3.823	3.854	1989.2144	1989.0953	-34.71	-290.49
3.854	3.884	1989.0953	1988.9763	-35.06	-285.81
3.884	3.915	1988.9763	1988.8571	-35.79	-281.58
3.915	3.945	1988.8571	1988.7273	-31.98	-276.41
3.945	3.976	1988.7273	1988.5974	-33.74	-275.55
3.976	4.006	1988.5974	1988.4675	-31.51	-271.57
4.006	4.036	1988.4675	1988.3377	-34.09	-269.46
4.036	4.067	1988.3377	1988.2078	-32.19	-264.31
4.067	4.097	1988.2078	1988.0779	-28.98	-259.18
4.097	4.127	1988.0779	1987.9481	-33.11	-259.55
4.127	4.157	1987.9481	1987.8182	-30.77	-251.45
4.157	4.188	1987.8182	1987.6883	-33.57	-256.25
4.188	4.218	1987.6883	1987.5584	-34.06	-274.18
4.218	4.248	1987.5584	1987.4286	-34.99	-280.82
4.248	4.279	1987.4286	1987.2987	-35.31	-284.78
4.279	4.309	1987.2987	1987.1688	-35.68	-285.44
4.309	4.339	1987.1688	1987.039	-35.64	-284.08
4.339	4.37	1987.039	1986.947	-33.67	-278.56
4.37	4.4	1986.947	1986.8712	-33.74	-274.41
4.4	4.43	1986.8712	1986.7955	-34.09	-274.84
4.43	4.46	1986.7955	1986.7197	-34.43	-275.64
4.46	4.491	1986.7197	1986.6439	-34.36	-282.22
4.491	4.521	1986.6439	1986.5682	-35.06	-284.9
4.521	4.551	1986.5682	1986.4924	-35.81	-285.64
4.551	4.582	1986.4924	1986.4167	-35.75	-285.84
4.582	4.612	1986.4167	1986.3409	-35.51	-282.73
4.612	4.642	1986.3409	1986.2652	-28.83	-275.97
4.642	4.673	1986.2652	1986.1894	-32.86	-274.56
4.673	4.703	1986.1894	1986.1136	-34.67	-273.94
4.703	4.733	1986.1136	1986.0379	-34.07	-270.96
4.733	4.763	1986.0379	1985.9351	-34.83	-274.04
4.763	4.794	1985.9351	1985.8052	-35.06	-276.47
4.794	4.824	1985.8052	1985.6753	-35.27	-278.67
4.824	4.854	1985.6753	1985.5455	-34.61	-280.85
4.854	4.885	1985.5455	1985.4156	-35.08	-282.6
4.885	4.915	1985.4156	1985.2857	-28.03	-278.59
4.915	4.945	1985.2857	1985.1515	-34.87	-275.46
4.945	4.976	1985.1515	1985.0173	-34	-272.63
4.976	5.006	1985.0173	1984.9091	-33.25	-270.76
5.006	5.037	1984.9091	1984.8047	-31	-265.58
5.037	5.067	1984.8047	1984.7003	-30.33	-264.29
5.067	5.098	1984.7003	1984.596	-33.14	-262.31
5.098	5.128	1984.596	1984.4916	-32.85	-258.35
5.128	5.158	1984.4916	1984.3872	-32.29	-256.07
5.158	5.189	1984.3872	1984.2828	-32.47	-254.65
5.189	5.219	1984.2828	1984.1785	-32.18	-256.95
5.219	5.25	1984.1785	1984.0741	-31	-258.86
5.25	5.28	1984.0741	1983.961	-33.54	-264.1
5.28	5.311	1983.961	1983.8268	-33.64	-273.17
5.311	5.341	1983.8268	1983.6926	-34.49	-277.08
5.341	5.371	1983.6926	1983.5584	-35.07	-279.33
5.371	5.402	1983.5584	1983.4242	-33.58	-276.28
5.402	5.432	1983.4242	1983.29	-31.67	-270.61
5.432	5.463	1983.29	1983.1558	-33.85	-268.11
5.463	5.493	1983.1558	1983.0216	-33.32	-264.91
5.493	5.523	1983.0216	1982.9015	-33.8	-266.36
5.523	5.554	1982.9015	1982.7841	-34.39	-271.1
5.554	5.584	1982.7841	1982.6667	-34.51	-275.76
5.584	5.615	1982.6667	1982.5492	-32.05	-282.25
5.615	5.645	1982.5492	1982.4318	-35.54	-284.94
5.645	5.676	1982.4318	1982.3144	-35.19	-284.13
5.676	5.706	1982.3144	1982.197	-35.33	-281.35
5.706	5.736	1982.197	1982.0795	-35.1	-277.87
5.736	5.767	1982.0795	1981.9663	-32.16	-273.31
5.767	5.797	1981.9663	1981.862	-34.37	-273.62
5.797	5.828	1981.862	1981.7576	-34.88	-277.93
5.828	5.858	1981.7576	1981.6532	-33.58	-279.69
5.858	5.889	1981.6532	1981.5488	-35.87	-285.37
5.889	5.919	1981.5488	1981.4444	-35.86	-286.73
5.919	5.949	1981.4444	1981.3226	-34.73	-283.55
5.949	5.978	1981.3226	1981.2007	-35.01	-279.25
5.978	6.008	1981.2007	1981.0789	-32.64	-272.9
6.008	6.037	1981.0789	1980.9702	-33.32	-266.49
6.037	6.067	1980.9702	1980.8859	-31.46	-261.59
6.067	6.096	1980.8859	1980.8015	-32.36	-257.66
6.096	6.126	1980.8015	1980.7171	-30.41	-255.29
6.126	6.155	1980.7171	1980.6328	-31.74	-252.41
6.155	6.185	1980.6328	1980.5484	-30.73	-249.96
6.185	6.214	1980.5484	1980.464	-30.89	-247.58
6.214	6.244	1980.464	1980.3797	-29.02	-239.14
6.244	6.273	1980.3797	1980.2953	-28.54	-231.89
6.273	6.303	1980.2953	1980.2109	-28.62	-227.17
6.303	6.332	1980.2109	1980.1266	-28.69	-221.08
6.332	6.362	1980.1266	1980.0422	-27.59	-222.1
6.362	6.391	1980.0422	1979.9502	-27.59	-227.08
6.391	6.421	1979.9502	1979.8504	-24.68	-234.95
6.421	6.45	1979.8504	1979.7507	-31.88	-250.62
6.45	6.48	1979.7507	1979.651	-33.89	-267.89
6.48	6.509	1979.651	1979.5513	-31.13	-287.97
6.509	6.539	1979.5513	1979.4516	-27.97	-302.9
6.539	6.568	1979.4516	1979.3519	-37.01	-315.79
6.568	6.598	1979.3519	1979.2522	-39.53	-320.34
