% Annually averaged water isotope data as published in Steig et al. (2013) in Nature Geoscience																													
% Paper available at																													
% http://www.nature.com/ngeo/journal/v6/n5/full/ngeo1778.html																													
%																													
% Citation																													
% The primary citation for this data compilation is:																													
% Steig EJ, Ding Q, White JCW, Kuettel M, Rupper SB, Neumann TA, Neff PD,																													
% Gallant AJE, Mayewski PA, Taylor KC, Hoffmann G, Dixon DA, Schoenemann S, Markle BM, 																													
% Schneider DP, Fudge TJ, Schauer AJ, Teel RP, Vaughn B, Burgener L, Williams J,																													
% Korotkikh E. Recent climate and ice-sheet changes in West Antarctica compared																													
% with the past 2000 years. Nature Geoscience 6: 372-375, doi: 10.1038/NGEO1778 (2013).																													
%																													
% Note that many of these data have been published previously, and the original references should be used when possible.  Please refer to the headers																													
% below and to the details given in the Supplementary Materials for Steig et al. (2013), available at http://www.nature.com/ngeo/journal/v6/n5/extref/ngeo1778-s1.pdf																													
%																													
% For the data cited as Steig et al. (2013), annual averaged are calculated following linear interpolation of high resolution data to nominal calendar months.																													
%  In the (rare) case of missing data, the climatological monthly data are used to fill in missing months.  If fewer then 6 months of data are available for a given year, no average is calculated.																													
% For other data please refer to the original publication cited.																													
%																													
% 999999 = no data																													
%																													
% Core Name	WDC05A	ITASE_1999_1	ITASE_2000_1	ITASE_2000_2	ITASE_2000_3	ITASE_2000_4	ITASE_2000_5	ITASE_2000_6	ITASE_2001_1	ITASE_2001_2	ITASE_2001_3	ITASE_2001_4	ITASE_2001_5	ITASE_2002_1	ITASE_2002_2	ITASE_2002_4	SEAT_10_1	Siple Dome A 	Siple DOME B	NUS-07-1	NUS-08-7	South Pole	Gomez	LawDome2000	Talos Dome	Vostok	JamesRoss	DT001	DT085
% Latitude (N)	-79.467	-80.62	-78.3838	-79.7331	-78.433	-78.0829	-77.683	-78.3325	-79.1597	-82.001	-78.1202	-77.6116	-77.0593	-82	-83.5008	-86.5	-79.38	-81.65	-81.65	-73.72	-74.12	-89.93	-73.6	-66.78	-72.8	-78	-64.2	-71.85	-73.37
% Longitude (E)	-112.085	-122.63	-111.24	-111.497	-115.9172	-120.0764	-123.995	-124.484	-104.9672	-110.0082	-95.6463	-92.2483	-89.1376	-110.01	-104.9868	-107.99	-111.24	-148.81	-148.81	7.94	1.6	144.39	-70.4	112.82	159.75	106	-57.67	77.92	77.02
% Citation	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Steig et al., 2013	Thomas et al. (2009)	van Ommen et al., (2004)	Stenni et al. (2002)	Ekaykin et al. (2002)	Aristarain et al. (1990)	Xiao et al. (2004)	Xiao et al. (2004)
%																													
% Core Name	WDC05A	ITASE_1999_1	ITASE_2000_1	ITASE_2000_2	ITASE_2000_3	ITASE_2000_4	ITASE_2000_5	ITASE_2000_6	ITASE_2001_1	ITASE_2001_2	ITASE_2001_3	ITASE_2001_4	ITASE_2001_5	ITASE_2002_1	ITASE_2002_2	ITASE_2002_4	SEAT_10_1	Siple Dome A 	Siple DOME B	NUS-07-1	NUS-08-7	South Pole	Gomez	LawDome2000	Talos Dome	Vostok	JamesRoss	DT001	DT085
% Year	d18O	d18O	d18O	d18O	dD	dD	dD	d18O	d18O	d18O	dD	d18O	d18O	d18O	d18O	d18O	d18O	dD	d18O	d18O	d18O	dD	d18O	d18O	dD	dD	dD	d18O	d18O
2010	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-34.647557	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2009	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-33.820067	999999	999999	999999	-34.7265	999999	999999	999999	999999	999999	999999	999999	999999
2008	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-33.98803	999999	999999	999999	-40.1647	999999	999999	999999	999999	999999	999999	999999	999999
2007	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-34.060921	999999	999999	999999	-36.7789	999999	999999	999999	999999	999999	999999	999999	999999
2006	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-33.446083	999999	999999	999999	-43.1763	999999	-21.04	999999	999999	999999	999999	999999	999999
2005	-34.272622	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-33.619738	999999	999999	999999	-42.8509	999999	-23.02	999999	999999	999999	999999	999999	999999
2004	-35.536021	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-34.498596	999999	999999	-43.63	-42.5855	999999	-22.85	999999	999999	999999	999999	999999	999999
2003	-33.009903	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-36.247713	999999	999999	-44.1656	-44.9255	999999	-22.51	999999	999999	999999	999999	999999	999999
2002	-34.208058	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	-34.226918	999999	-43.933928	-38.029017	999999	999999	-44.4085	-41.8627	999999	-23.03	999999	999999	999999	999999	999999	999999
2001	-34.195678	999999	999999	999999	999999	999999	999999	999999	-33.248795	-28.459572	-252.54234	999999	-33.24418	-34.944288	-35.620759	-41.836089	-35.223876	999999	999999	-43.2271	-41.1236	999999	-20.28	999999	999999	999999	999999	-38.16063307	999999
2000	-33.337827	999999	-32.160373	999999	-242.31001	-273.27588	-278.63115	999999	-31.749313	-29.283088	-232.29739	-30.420616	-28.520281	-35.961839	-37.38482	-43.844493	-34.462569	999999	999999	-44.5164	-43.3859	999999	-20.57	999999	999999	999999	-149.9277778	-37.76502011	999999
1999	-34.992233	-35.723333	-32.881744	-31.061692	-253.51593	-262.53145	-291.73613	999999	-31.612862	-29.854415	-245.00789	-31.497544	-31.416363	-34.281419	-35.876962	-42.211446	-35.605384	999999	999999	-47.0991	-42.3199	999999	-22.63	-23.833831	999999	-445.1407247	-142.2153846	-38.53013904	-41.15614436
1998	-31.227492	-33.889704	-30.666698	-30.419673	-242.71283	-267.40323	-277.45776	999999	-31.732931	-30.308506	-244.40091	-30.100416	-30.621745	-30.680902	-35.915774	-40.897179	-34.544009	999999	999999	-44.631	-42.6146	-373.9964	-21.89	-22.460091	999999	-458.2618224	-139.7428571	-37.54704974	-41.57351356
1997	-33.135902	-30.172814	-30.937044	-30.597833	-245.1985	-270.95672	-268.23381	-31.186103	-31.851691	-30.457039	-249.82265	-31.794841	-32.927812	-33.102672	-35.396162	-42.064065	-34.717117	999999	999999	-46.0898	-39.8018	-384.6878	-23.12	-23.187421	999999	-436.525824	-148.2372	-35.72936041	-40.07731545
1996	-32.745788	-34.191739	-31.719072	-30.990429	-253.90844	-260.76644	-254.08173	-32.337051	-32.061633	-29.712557	-254.82405	-33.645916	-32.110633	-32.661521	-38.872564	-43.035336	-33.892576	999999	999999	-47.6763	-41.9584	-393.3274	-22.29	-21.277732	-319.4	-444.9998178	-143.057096	-37.06303521	-39.59563639
1995	-33.904746	-30.882713	-31.237974	-30.957092	-253.36871	-248.53547	-268.39182	-33.589915	-32.872148	-31.225591	-243.12608	-30.440169	-32.579134	-33.63035	-37.926871	-42.485391	-33.431331	999999	999999	-43.5369	-41.67	-389.3174	-22.71	-22.325052	-303.1	-440.6051455	-143.3243627	-38.17954451	-40.97169887
